week,day_of_week,hour,n
2018-02-25T00:00:00Z,1,01,26
2018-03-04T00:00:00Z,1,01,21
2018-03-11T00:00:00Z,1,01,28
2018-03-18T00:00:00Z,1,01,30
2018-03-25T00:00:00Z,1,01,22
2018-04-01T00:00:00Z,1,01,24
2018-04-08T00:00:00Z,1,01,23
2018-04-15T00:00:00Z,1,01,38
2018-04-22T00:00:00Z,1,01,29
2018-04-29T00:00:00Z,1,01,29
2018-05-06T00:00:00Z,1,01,38
2018-05-13T00:00:00Z,1,01,28
2018-05-20T00:00:00Z,1,01,28
2018-05-27T00:00:00Z,1,01,31
2018-06-03T00:00:00Z,1,01,23
2018-06-10T00:00:00Z,1,01,35
2018-06-17T00:00:00Z,1,01,27
2018-06-24T00:00:00Z,1,01,23
2018-07-01T00:00:00Z,1,01,33
2018-07-08T00:00:00Z,1,01,32
2018-07-15T00:00:00Z,1,01,22
2018-07-22T00:00:00Z,1,01,29
2018-07-29T00:00:00Z,1,01,38
2018-08-05T00:00:00Z,1,01,41
2018-08-12T00:00:00Z,1,01,45
2018-08-19T00:00:00Z,1,01,33
2018-08-26T00:00:00Z,1,01,26
2018-09-02T00:00:00Z,1,01,28
2018-09-09T00:00:00Z,1,01,29
2018-09-16T00:00:00Z,1,01,37
2018-09-23T00:00:00Z,1,01,41
2018-09-30T00:00:00Z,1,01,31
2018-10-07T00:00:00Z,1,01,31
2018-10-14T00:00:00Z,1,01,25
2018-10-21T00:00:00Z,1,01,31
2018-10-28T00:00:00Z,1,01,22
2018-11-04T00:00:00Z,1,01,45
2018-11-11T00:00:00Z,1,01,29
2018-11-18T00:00:00Z,1,01,22
2018-11-25T00:00:00Z,1,01,27
2018-12-02T00:00:00Z,1,01,30
2018-12-09T00:00:00Z,1,01,28
2018-12-16T00:00:00Z,1,01,29
2018-12-23T00:00:00Z,1,01,26
2018-12-30T00:00:00Z,1,01,31
2019-01-06T00:00:00Z,1,01,21
2019-01-13T00:00:00Z,1,01,17
2019-01-20T00:00:00Z,1,01,24
2019-01-27T00:00:00Z,1,01,23
2019-02-03T00:00:00Z,1,01,19
2019-02-10T00:00:00Z,1,01,30
2019-02-17T00:00:00Z,1,01,20
2019-02-24T00:00:00Z,1,01,25
2019-03-03T00:00:00Z,1,01,14
2019-03-10T00:00:00Z,1,01,24
2019-03-17T00:00:00Z,1,01,32
2019-03-24T00:00:00Z,1,01,29
2019-03-31T00:00:00Z,1,01,28
2019-04-07T00:00:00Z,1,01,21
2019-04-14T00:00:00Z,1,01,40
2019-04-21T00:00:00Z,1,01,30
2019-04-28T00:00:00Z,1,01,32
2019-05-05T00:00:00Z,1,01,42
2019-05-12T00:00:00Z,1,01,33
2019-05-19T00:00:00Z,1,01,30
2019-05-26T00:00:00Z,1,01,27
2019-06-02T00:00:00Z,1,01,23
2019-06-09T00:00:00Z,1,01,41
2019-06-16T00:00:00Z,1,01,24
2019-06-23T00:00:00Z,1,01,41
2019-06-30T00:00:00Z,1,01,29
2019-07-07T00:00:00Z,1,01,30
2019-07-14T00:00:00Z,1,01,29
2019-07-21T00:00:00Z,1,01,37
2019-07-28T00:00:00Z,1,01,30
2019-08-04T00:00:00Z,1,01,34
2019-08-11T00:00:00Z,1,01,38
2019-08-18T00:00:00Z,1,01,24
2019-08-25T00:00:00Z,1,01,25
2019-09-01T00:00:00Z,1,01,38
2019-09-08T00:00:00Z,1,01,30
2019-09-15T00:00:00Z,1,01,31
2019-09-22T00:00:00Z,1,01,40
2019-09-29T00:00:00Z,1,01,25
2019-10-06T00:00:00Z,1,01,30
2019-10-13T00:00:00Z,1,01,31
2019-10-20T00:00:00Z,1,01,35
2019-10-27T00:00:00Z,1,01,43
2019-11-03T00:00:00Z,1,01,45
2019-11-10T00:00:00Z,1,01,22
2019-11-17T00:00:00Z,1,01,27
2019-11-24T00:00:00Z,1,01,32
2019-12-01T00:00:00Z,1,01,34
2019-12-08T00:00:00Z,1,01,19
2019-12-15T00:00:00Z,1,01,26
2019-12-22T00:00:00Z,1,01,20
2019-12-29T00:00:00Z,1,01,27
2020-01-05T00:00:00Z,1,01,13
2020-01-12T00:00:00Z,1,01,14
2020-01-19T00:00:00Z,1,01,31
2020-01-26T00:00:00Z,1,01,29
2020-02-02T00:00:00Z,1,01,15
2020-02-09T00:00:00Z,1,01,35
2020-02-16T00:00:00Z,1,01,29
2020-02-23T00:00:00Z,1,01,29
2020-03-01T00:00:00Z,1,01,29
2020-03-08T00:00:00Z,1,01,19
2020-03-15T00:00:00Z,1,01,15
2020-03-22T00:00:00Z,1,01,7
2020-03-29T00:00:00Z,1,01,9
2020-04-05T00:00:00Z,1,01,13
2020-04-12T00:00:00Z,1,01,10
2020-04-19T00:00:00Z,1,01,9
2020-04-26T00:00:00Z,1,01,12
2020-05-03T00:00:00Z,1,01,17
2020-05-10T00:00:00Z,1,01,21
2020-05-17T00:00:00Z,1,01,20
2020-05-24T00:00:00Z,1,01,23
2020-05-31T00:00:00Z,1,01,32
2020-06-07T00:00:00Z,1,01,16
2020-06-14T00:00:00Z,1,01,17
2020-06-21T00:00:00Z,1,01,20
2020-06-28T00:00:00Z,1,01,28
2020-07-05T00:00:00Z,1,01,47
2020-07-12T00:00:00Z,1,01,33
2020-07-19T00:00:00Z,1,01,23
2020-07-26T00:00:00Z,1,01,23
2020-08-02T00:00:00Z,1,01,26
2020-08-09T00:00:00Z,1,01,30
2020-08-16T00:00:00Z,1,01,23
2020-08-23T00:00:00Z,1,01,29
2020-08-30T00:00:00Z,1,01,21
2020-09-06T00:00:00Z,1,01,24
2020-09-13T00:00:00Z,1,01,35
2020-09-20T00:00:00Z,1,01,18
2020-09-27T00:00:00Z,1,01,28
2020-10-04T00:00:00Z,1,01,32
2020-10-11T00:00:00Z,1,01,27
2020-10-18T00:00:00Z,1,01,29
2020-10-25T00:00:00Z,1,01,19
2020-11-01T00:00:00Z,1,01,43
2020-11-08T00:00:00Z,1,01,17
2020-11-15T00:00:00Z,1,01,25
2020-11-22T00:00:00Z,1,01,22
2020-11-29T00:00:00Z,1,01,21
2020-12-06T00:00:00Z,1,01,21
2020-12-13T00:00:00Z,1,01,17
2020-12-20T00:00:00Z,1,01,27
2020-12-27T00:00:00Z,1,01,23
2021-01-03T00:00:00Z,1,01,19
2021-01-10T00:00:00Z,1,01,23
